HSPB1,SLC27A3,INMT,GATA2,LRRC26,C8orf55,LY6H,SLC9A3R2,HRC,ZFYVE19,NR2F2,TRIM3,OPN4,LRFN2,FAM113B,SPDEF,C1orf64,CLEC14A,HTR2B,JAM2,KRT18,LTBP2,ALDH4A1,JAM3,CRYGN,PODN,NQO1,SNCG,ADRA2C,GDF15,LYZL2,SLC7A13,PRPH,TFF3,RMND5B,CXXC5,SGCA,HSF2,ZNF684,PAPSS1,OGFRL1,RNF138,RCAN3,ENKUR,HAUS6,CHPT1,ZNF529,DEM1,FASTKD1,ZNF567,NHLH1,Emb_0,Emb_1,Emb_2,Emb_3,Emb_4,Emb_5,Emb_6,Emb_7,abs_mean
-0.1022936,-0.0518248,-0.3268339,0.093291655,-0.056699812,0.52748024,-0.05121007,0.016530484,-0.03554107,-0.058343265,-0.09384351,-0.044589415,-0.27099338,-0.06437318,-0.015045733,0.0068183634,0.09377481,-0.03677932,-0.40735584,-0.08969105,-0.018664377,-0.13432887,-0.15708663,-0.0011449617,-0.09757357,-0.049390364,-0.066756524,-0.14269872,0.05309202,-0.018000318,-0.20133136,-0.08664159,0.03200469,0.024333363,-0.08766138,0.017789194,-0.2254774,0.1355411,-0.032816228,-0.008082893,0.075547114,0.027449986,-0.065362215,0.00908677,0.010021908,0.057189085,-0.030626632,-0.028926764,-0.1831712,0.025087379,-0.28340492,-0.027881594,-0.2141152,-0.041147348,0.005775136,0.17628583,0.0050820513,0.035841644,-0.81034696,
0.021702018,-0.0023045922,-0.067151904,-0.03539626,0.033700846,-0.21549848,-0.0066479677,-0.0076654833,-0.0047386317,0.32353464,-0.33567584,-0.101965286,0.14371806,0.1611186,-0.03446624,-0.11554468,0.019207167,-0.015402155,0.2097272,-0.008563862,-0.062489793,0.033755522,0.03710302,-0.009872688,0.20136659,-0.013685025,-0.12186673,0.1003258,0.008984329,0.0837528,0.0044418387,-0.095918834,-0.48004967,-0.059416477,-0.22983806,-0.015290718,0.03872258,-0.102159806,-0.027385436,0.014223874,-0.13123618,0.00075341715,0.06719601,0.03997534,-0.044175144,0.009087064,0.04777079,0.13500598,-0.0029870272,0.06614964,-0.05773868,-0.08723553,0.58845943,-0.004166241,0.024131266,-0.08057948,-0.017275661,-0.103724964,-0.062490005,
-0.008838682,0.04478886,0.0785513,-0.19284554,-0.0077747665,-0.100156635,0.02011631,-0.026286509,0.024209,-0.10220843,0.016417578,-0.13347541,0.17360973,-0.14694475,-0.071655326,-0.03658953,-0.13118836,0.009091109,0.22464104,-0.015527763,0.01877427,0.02776801,-0.4699941,0.24669714,-0.069880515,-0.11044034,-0.08974633,-0.022219464,-0.009040114,-0.066409335,-0.094751686,0.08085154,0.29670522,-0.044818625,-0.09605921,-0.103921175,0.1416609,-0.033288166,-0.08106885,-0.020447752,-0.07964229,-0.21279415,-0.0038189413,-0.09150904,-0.0005584508,-0.19789216,-0.0454383,0.08202456,-0.01056571,0.024693651,0.22293213,0.21839756,0.23602942,-0.011265554,-0.03502031,-0.06466962,-0.021233276,-0.06623862,-0.075191736,
-0.021428889,0.014669011,-0.025386546,-0.12406315,-0.00076675205,-0.21814924,-0.01421525,-0.04791339,-0.004045415,-0.053158715,-0.10057472,-0.13523924,0.12256624,-0.021456359,-0.002246528,-0.08378031,-0.05392728,0.0052876775,0.33002564,0.019187244,-0.14901187,-0.013104491,-0.29600766,-0.038028333,0.2051755,-0.0043708077,-0.118855424,-0.03684537,0.041394237,0.08943761,-0.0012521995,0.06347595,-0.38442597,0.05612487,0.62516195,-0.11735053,-0.052418966,0.12818049,-0.051026277,-0.00706904,-0.010240206,0.101559214,0.0535515,0.08774161,-0.016527567,-0.4305517,-0.0005030667,0.16800588,0.072736904,0.035871476,0.20002624,0.17768764,0.15512826,0.007144922,-0.0011514635,-0.11080852,-0.02223147,-0.086040296,-0.04772282,
-0.024959452,0.056983862,-0.15046124,-0.097768486,-0.0111145545,-0.37073225,0.05266742,0.020326337,-0.0027262568,-0.14191203,-0.08258157,-0.021125576,0.0050305976,-0.09695018,-0.08135173,-0.03577215,0.012763871,-0.06613178,0.04668717,0.02977061,0.103989296,-0.26360187,-0.10412328,-0.046549246,-0.19214563,-0.0038492111,0.09142648,-0.050683483,0.02805211,0.034572624,-0.023983905,0.057401527,-0.22054705,-0.029503277,-0.22927472,-0.025203362,-0.003407369,0.043936007,-0.06579677,-0.025778716,-0.042073566,0.1866152,0.041188672,-0.1836711,0.05121789,-0.37651026,-0.049945086,0.0809487,0.060278162,-4.1092047e-05,0.17140405,-0.013171041,-0.12685338,-0.003175349,-0.012545283,0.015695347,0.0026624892,0.027510053,0.020758275,
-0.0023887604,0.038196284,0.16343585,0.0484371,-0.04487862,-0.23387975,-0.044451933,-0.0064221267,-0.0071343933,-0.116202846,0.004557103,-0.0702856,0.0909182,-0.10557953,-0.050858017,-0.16053984,-0.2161282,-0.021368692,0.19418187,0.051650163,-0.07460575,0.020798163,0.2465544,-0.0026333714,-0.1674504,-0.019411718,0.14305864,0.17409971,0.022704856,-0.010473546,-0.09301498,0.060323812,0.03756224,0.032429207,-0.1216331,0.038769647,0.085188515,-0.0005113825,-0.014135321,0.051856194,-0.014824808,-0.034863774,-0.077935085,-0.008630004,0.05392523,-0.31687182,0.014158342,0.032388583,0.014005691,0.11197422,-0.3762844,-0.040163588,-0.1159651,2.2702385e-05,-0.016160872,-0.055504486,-0.012293676,-0.06747904,0.0558427,
0.020180972,-0.08548942,0.23089144,-0.048517656,0.10353913,-0.21924657,0.06216045,-0.021675406,-0.01125087,-0.12198043,0.21665567,-0.096306965,0.089128904,0.027200643,-0.016299045,-0.037946373,-0.20640236,0.039178558,0.21402037,-0.18885598,0.025817595,0.07108757,-0.051533833,-0.09079489,-0.112343885,-0.01685607,-0.10407932,-0.014552488,-0.019806594,-0.014146872,-0.06852139,0.119988985,-0.117480986,-0.1838855,-0.15091811,-0.03947335,0.11785661,-0.013135141,0.014872999,-0.022632647,-0.046385918,0.10943683,-0.10057856,0.033194654,-0.024208874,0.012058251,-0.032392588,-0.01200114,0.05113568,0.000492716,0.190299,-0.061715808,-0.009858211,0.023550684,0.023840556,-0.059902426,-0.005351021,-0.13910109,-0.109588325,
-0.055838764,0.012395283,-0.16149321,-0.10407569,-0.0094949845,-0.22098733,-0.04160525,0.016339233,0.00029246695,0.13997008,0.0039056586,0.12856121,-0.30418262,-0.10935208,-0.054647747,-0.02477498,0.06324043,-0.015951024,-0.55906385,-0.18010591,0.09765264,-0.26610994,0.14917515,-0.052947775,-0.19997293,0.008642589,-0.16730683,-0.07183213,-0.029252352,-0.04586743,-0.19666326,0.033703316,-0.09601514,0.016021576,0.25324103,0.009135521,-0.39907402,-0.024417644,-0.047921933,-0.029569509,-0.017885344,-0.058745835,-0.049913004,-0.13691613,-0.07444507,-0.2552215,-0.08791267,-0.16349754,-0.0048172157,-0.029569276,-0.3091381,-0.054075748,-0.24136388,-0.02462347,0.014417249,-0.02310243,0.00089616876,0.053248595,0.0373378,
-0.03376788,-0.078285865,-0.08128016,0.07321803,0.00035420386,-0.3087505,-0.010701079,-0.0015809142,-0.012012702,-0.08324906,-0.1299965,-0.084619194,0.10982693,-0.15293737,-0.045126226,0.061074726,-0.20729816,0.0069185058,-0.29712975,-0.12000242,-0.028786728,-0.1955947,-0.2874375,0.025829788,-0.18480536,-0.036966104,-0.16555537,0.0040735863,0.078586124,-0.12479293,-0.111067556,0.025109587,0.13880584,-0.04415741,0.08756182,-0.069196604,0.030781813,-0.13816121,-0.036276825,0.021705352,-0.027491877,-0.051366925,0.019156791,0.07736644,-0.025291132,0.11230244,-0.062420696,-0.012720795,-0.093406215,-0.023503387,-0.2192574,-0.056524925,-0.1927298,-0.10908649,0.010878828,0.006538211,0.018728724,-0.07064709,-0.0015105545,
-0.017351212,-0.0062650885,-0.25193146,-0.020334747,0.030632468,-0.01534643,-0.009016343,-0.022163708,-0.028190423,-0.05557174,0.032213084,-0.083687365,0.029219361,-0.08350754,-0.039444912,0.10954237,-0.02976894,-0.0346182,-0.2218205,-0.18565479,0.015047171,-0.23592938,-0.13812669,-0.02419559,-0.17455785,0.06715532,-0.086672336,-0.021657003,0.058891136,0.1252978,-0.08327222,-0.019142076,-0.12600885,0.0929573,-0.12850596,-0.013747178,0.11053509,-0.039735973,0.005674853,-0.026471369,-0.0753026,-0.09449991,-0.047509074,-0.113727495,0.022592321,-0.4200345,-0.059688203,0.029240089,-0.013355918,-0.09447872,-0.31478345,-0.04170733,-0.12566175,-0.06954878,-0.016512442,-0.006722968,-0.0099980375,-0.09286595,-0.017351534,
